,importance
sku_concentration,4357.866666666667
avg_trip_distance,3887.4666666666667
battery_mean_scenario_std,3673.2000000000003
order_inflow_15m_scenario_std,3664.0
order_inflow_15m_scenario_mean,3537.933333333333
robot_active_scenario_mean,3339.4666666666667
battery_mean_scenario_mean,3182.533333333333
congestion_score_scenario_mean,3068.6
robot_active_scenario_std,2952.0
low_battery_ratio_scenario_std,2729.733333333333
low_battery_ratio_scenario_mean,2516.2000000000003
congestion_score_scenario_std,2468.6666666666665
zone_dispersion,2137.866666666667
avg_items_per_order,2137.866666666667
manual_override_ratio,2095.866666666667
station_per_robot,1893.0
layout_compactness,1813.4666666666665
ceiling_height_m,1740.6666666666667
fire_sprinkler_count,1715.7333333333333
aisle_width_avg,1715.6666666666667
building_age_years,1586.8666666666668
pack_station_per_area,1579.2
one_way_ratio,1499.8666666666668
floor_area_sqm,1498.4000000000003
route_constraint,1479.8666666666668
pack_station_count,1467.8666666666668
layout_pca_efficiency,1452.0666666666668
charger_ratio,1448.3333333333333
intersection_count,1417.4666666666665
aisle_compactness,1387.5333333333335
intersection_density,1347.2
floor_area_per_robot,1218.2
robot_total,1171.6000000000001
layout_pca_complexity,1163.2666666666667
layout_pca_capacity,1117.1333333333332
saturation_index,1039.9333333333334
cold_chain_ratio,1027.4666666666665
battery_std,1019.8666666666667
barcode_read_success_rate,977.6666666666666
air_quality_idx,961.0666666666667
safety_score_monthly,946.9333333333334
lighting_level_lux,932.5999999999999
warehouse_temp_avg,931.6666666666666
humidity_pct,928.6
precipitation_mm,927.6
wind_speed_kmh,922.0666666666666
hvac_power_kw,920.9999999999999
external_temp_c,920.2666666666668
wms_response_time_ms,920.2666666666665
ups_battery_pct,919.0
vertical_utilization,915.0666666666666
pick_list_length_avg,914.1333333333332
network_instability,909.0666666666666
co2_level_ppm,908.7333333333332
return_order_ratio,900.7333333333332
scanner_error_rate,899.7333333333332
lighting_zone_variance,858.4
charger_count,853.2666666666668
storage_density_pct,846.7333333333332
pack_utilization,844.4
inventory_turnover_rate,835.9333333333334
bulk_order_ratio,814.2000000000002
path_optimization_score,813.9333333333334
avg_idle_duration_min,807.6
worker_avg_tenure_months,803.6666666666666
network_bottleneck,798.6666666666666
emergency_exit_count,798.6666666666666
backorder_ratio,795.0
pallet_wrap_time_min,786.7333333333332
racking_height_avg_m,785.1999999999999
loading_dock_util,783.1333333333332
robot_calibration_score,780.4
express_lane_util,778.7333333333332
quality_check_rate,772.7999999999998
workload_intensity,772.2666666666668
wifi_signal_db,771.0
unique_sku_15m,770.5333333333333
cross_dock_ratio,766.6
cold_storage_temp_c,764.0666666666666
charge_efficiency_pct,762.9333333333334
avg_package_weight_kg,757.8000000000001
urgent_order_ratio,750.6
agv_task_success_rate,738.0666666666667
packaging_material_cost,722.6666666666666
outbound_truck_wait_min,714.5333333333333
daily_forecast_accuracy,708.6666666666666
dock_to_stock_hours,706.0
staging_area_util,696.0666666666666
environment_stress,676.1333333333333
sensor_noise_stress,667.4
conveyor_speed_mps,651.8666666666667
aisle_traffic_score,643.8666666666667
fleet_age_months_avg,640.0
kpi_otd_pct,635.2666666666667
battery_cycle_count_avg,634.4
zone_temp_variance,633.3333333333334
heavy_item_ratio,626.1333333333333
robot_firmware_update_days,622.0
floor_vibration_idx,618.0
network_latency_ms,617.2666666666667
prev_shift_volume,609.8
label_print_queue,602.6666666666666
shift_handover_delay_min,602.5333333333333
maintenance_schedule_score,601.9333333333334
sort_accuracy_pct,595.6666666666666
ambient_noise_db,593.5333333333333
ops_pressure_idx,557.2666666666668
intersection_wait_time_avg,556.4
robot_idle,491.0666666666666
max_zone_density,465.0666666666666
shift_hour,418.5333333333333
time_idx,407.8
order_wave_count,388.7333333333333
staff_on_floor,381.9333333333334
day_of_week,379.5333333333333
human_robot_density,378.93333333333334
robot_utilization,363.59999999999997
battery_mean_diff1,354.0
robot_active_per_area,351.2
order_inflow_15m_lag1,332.2
congestion_vs_scenario_mean,323.06666666666666
robot_active_roll5_mean,296.6666666666667
order_inflow_15m,294.06666666666666
cumulative_inflow,282.59999999999997
order_inflow_15m_roll5_mean,250.26666666666668
congestion_tenure_weighted,245.06666666666663
order_inflow_15m_roll5_max,236.80000000000004
congestion_score,229.60000000000002
battery_mean,223.20000000000002
forklift_active_count,221.39999999999998
order_inflow_15m_diff1,211.0666666666667
order_inflow_15m_roll5_std,206.73333333333332
