,importance
sku_concentration,7037.8
avg_trip_distance,6193.6
order_inflow_15m_scenario_std,6187.4
battery_mean_scenario_std,6182.6
order_inflow_15m_scenario_mean,6003.0
robot_active_scenario_mean,5667.2
congestion_score_scenario_mean,5350.6
battery_mean_scenario_mean,5272.4
robot_active_scenario_std,5055.0
low_battery_ratio_scenario_std,4622.6
layout_cluster_id,4290.6
congestion_score_scenario_std,4268.0
low_battery_ratio_scenario_mean,4227.0
zone_dispersion,3561.8
avg_items_per_order,3246.8
layout_compactness,3220.8
pack_station_per_area,3178.4
manual_override_ratio,3178.4
aisle_width_avg,3084.0
ceiling_height_m,3004.4
pack_station_count,2992.6
fire_sprinkler_count,2917.0
building_age_years,2768.4
one_way_ratio,2730.2
aisle_compactness,2688.8
route_constraint,2686.8
floor_area_sqm,2686.6
floor_area_per_robot,2541.6
charger_ratio,2507.8
layout_cluster_target_enc,2468.2
intersection_density,2418.4
intersection_count,2325.4
robot_total,2250.6
inflow_per_station,1699.4
battery_std,1501.8
cold_chain_ratio,1463.4
charger_count,1389.2
emergency_exit_count,1330.8
pack_utilization,1261.4
air_quality_idx,1242.4
barcode_read_success_rate,1236.8
humidity_pct,1235.6
precipitation_mm,1231.2
external_temp_c,1230.2
ups_battery_pct,1219.8
hvac_power_kw,1215.8
warehouse_temp_avg,1215.4
safety_score_monthly,1203.4
lighting_level_lux,1194.4
pick_list_length_avg,1181.4
co2_level_ppm,1176.6
vertical_utilization,1166.8
wifi_signal_db,1155.8
wms_response_time_ms,1147.2
return_order_ratio,1138.4
floor_vibration_idx,1125.4
wind_speed_kmh,1123.6
ambient_noise_db,1122.0
network_latency_ms,1118.8
scanner_error_rate,1117.0
unique_sku_15m,1075.6
avg_idle_duration_min,1058.0
lighting_zone_variance,1052.4
inventory_turnover_rate,1051.8
bulk_order_ratio,1040.4
backorder_ratio,1033.4
path_optimization_score,1025.2
worker_avg_tenure_months,1016.8
storage_density_pct,1015.0
express_lane_util,1011.4
pallet_wrap_time_min,997.8
urgent_order_ratio,993.8
robot_calibration_score,986.2
racking_height_avg_m,957.8
charge_efficiency_pct,928.4
agv_task_success_rate,925.4
cross_dock_ratio,923.6
loading_dock_util,913.2
packaging_material_cost,912.2
cold_storage_temp_c,899.4
avg_package_weight_kg,897.2
quality_check_rate,880.4
dock_to_stock_hours,880.2
outbound_truck_wait_min,864.8
daily_forecast_accuracy,863.2
staging_area_util,845.0
robot_idle,842.2
label_print_queue,821.2
conveyor_speed_mps,817.6
zone_temp_variance,764.2
aisle_traffic_score,764.2
heavy_item_ratio,757.4
fleet_age_months_avg,743.4
prev_shift_volume,732.0
kpi_otd_pct,724.6
robot_firmware_update_days,709.6
shift_handover_delay_min,709.4
battery_cycle_count_avg,709.0
maintenance_schedule_score,692.8
max_zone_density,689.2
sort_accuracy_pct,683.6
intersection_wait_time_avg,673.0
time_idx,639.0
order_inflow_15m,614.4
active_area_ratio,581.2
charger_load,568.2
robot_utilization,561.2
day_of_week,544.8
shift_hour,512.0
staff_on_floor,497.6
order_wave_count,495.6
robot_active_roll5_mean,464.8
congestion_score,447.2
order_inflow_15m_lag1,419.8
battery_stress,404.4
cumulative_inflow,402.6
layout_type_enc,395.6
battery_mean_diff1,393.6
order_inflow_15m_roll5_mean,368.4
order_inflow_15m_roll5_max,357.8
robot_active_roll4_mean,308.4
forklift_active_count,301.8
battery_mean,300.2
low_battery_ratio_roll5_max,283.2
robot_active_roll3_mean,262.4
congestion_score_lag1,232.4
order_inflow_15m_roll4_mean,210.6
robot_charging,208.0
robot_active_roll5_max,202.4
order_inflow_15m_roll4_max,201.6
order_inflow_15m_roll5_std,200.2
congestion_score_roll5_std,196.2
charging_per_active,192.8
cumulative_inflow_lag1,190.0
robot_active_roll5_std,185.2
congestion_score_roll5_mean,183.2
task_reassign_15m,179.8
battery_mean_lag1,169.4
order_inflow_15m_diff1,168.2
battery_mean_roll5_max,165.4
robot_active,161.8
congestion_score_roll5_max,161.4
battery_mean_roll5_std,158.4
low_battery_ratio,154.0
congestion_score_diff1,149.8
battery_mean_roll4_std,147.4
congestion_score_roll4_mean,141.6
avg_recovery_time,139.8
battery_mean_roll3_std,138.2
order_inflow_15m_roll3_max,134.2
congestion_score_roll4_std,127.2
order_inflow_15m_lag2,123.6
order_inflow_15m_roll3_mean,121.6
order_inflow_15m_roll4_std,121.4
battery_mean_roll4_max,116.0
order_inflow_15m_roll3_std,115.6
inflow_x_congestion,115.4
robot_active_roll4_std,111.0
robot_active_roll4_max,109.6
robot_active_roll3_max,109.4
congestion_score_roll3_std,108.0
fault_count_15m,105.2
congestion_score_lag2,103.6
low_battery_x_battery_mean,101.2
battery_mean_roll3_max,101.0
low_battery_ratio_roll5_std,100.8
low_battery_ratio_roll4_max,100.8
near_collision_15m,99.2
congestion_score_roll4_max,99.0
battery_mean_lag2,99.0
