,importance
battery_risk,92.2
congestion_score_roll3_mean,91.2
avg_charge_wait,91.2
low_battery_ratio_roll5_mean,86.2
congestion_score_roll3_max,83.2
blocked_path_15m,80.2
battery_mean_roll3_mean,77.8
robot_active_roll3_std,74.2
congestion_persistence,73.2
charge_queue_length,73.0
low_battery_ratio_roll3_std,71.8
replenishment_overlap,71.4
battery_mean_roll5_mean,71.2
low_battery_ratio_roll4_std,67.2
battery_mean_roll4_mean,65.4
low_battery_ratio_lag1,57.0
low_battery_ratio_roll3_max,56.6
low_battery_ratio_roll4_mean,52.8
congestion_score_roll3_std_is_missing,49.2
low_battery_ratio_diff1,44.0
low_battery_ratio_roll3_mean,39.6
low_battery_ratio_lag2,36.6
robot_active_roll3_mean_is_missing,36.2
congestion_score_roll5_std_is_missing,35.8
battery_mean_roll4_std_is_missing,24.4
low_battery_ratio_roll4_mean_is_missing,24.0
congestion_score_roll4_mean_is_missing,21.2
congestion_score_roll5_mean_is_missing,20.6
low_battery_ratio_roll4_std_is_missing,20.0
congestion_score_roll4_std_is_missing,18.4
low_battery_ratio_roll5_std_is_missing,15.4
order_inflow_15m_roll5_std_is_missing,11.8
robot_active_roll3_max_is_missing,9.4
congestion_score_roll3_mean_is_missing,9.0
order_inflow_15m_roll3_std_is_missing,7.0
order_inflow_15m_diff1_is_missing,2.0
