,mae_increase
battery_mean_roll4_std,0.00014893945217941962
low_battery_ratio_lag2_is_missing,0.00014832995508307079
humidity_pct,0.00013657510588771515
robot_total,0.00012158394866013111
low_tenure_risk,0.00011912212921494358
network_bottleneck,0.00011862939188489463
order_inflow_15m_roll3_std_is_missing,0.00010959203223137592
cross_dock_ratio,0.0001087655193430237
near_collision_15m,0.00010628758723640885
congestion_persistence,0.0001052954967040165
shift_handover_delay_min,9.268807721696248e-05
low_battery_ratio_roll5_max_is_missing,7.767788391355168e-05
network_latency_ms,6.387056338397201e-05
battery_mean_diff1,5.284413530048937e-05
aisle_traffic_score,4.73466861468097e-05
cold_chain_ratio,4.2862490134965014e-05
quality_check_rate,2.6333910660980564e-05
fleet_age_months_avg,-2.0743556898850102e-05
low_battery_ratio_diff1,-2.4834988909816502e-05
day_of_week,-2.9355688182519657e-05
unique_sku_15m,-3.273922557589515e-05
order_inflow_15m_roll3_max_is_missing,-4.8319801852159117e-05
low_battery_ratio_roll3_mean,-5.632721076587188e-05
robot_calibration_score,-5.7052381029265575e-05
order_inflow_15m_roll4_max_is_missing,-7.263675931490354e-05
intersection_wait_time_avg,-8.773549546248205e-05
shift_hour,-9.316643985002315e-05
sku_concentration,-0.00011108592393327399
congestion_score_roll5_max,-0.00011259273938613035
precipitation_mm,-0.0001165385694115173
network_instability,-0.0001207201257908963
maintenance_schedule_score,-0.00013672469008518817
external_temp_c,-0.00013745219330374425
floor_area_per_robot,-0.00013805184933346482
conveyor_speed_mps,-0.00014350754774916652
avg_package_weight_kg,-0.00014690259764904567
charge_queue_length,-0.00019675559417819954
ambient_noise_db,-0.00023936148652303757
label_print_queue,-0.00025952549081154075
shift_hour_cos,-0.0002640300924561245
wifi_signal_db,-0.00027554621170367
wind_speed_kmh,-0.00028340198169019004
worker_avg_tenure_months,-0.00028590288918550755
storage_density_pct,-0.00029303857533236055
zone_temp_variance,-0.0003287051471829727
congestion_30m_mean,-0.00034946861931928197
barcode_read_success_rate,-0.0004307970446859599
pallet_wrap_time_min,-0.0004423353684099851
ceiling_height_m,-0.00044467409162152194
environment_stress,-0.00046458916975389286
layout_type_enc,-0.00048289012118551966
daily_forecast_accuracy,-0.000504349880984023
racking_height_avg_m,-0.0005276315668272247
inflow_x_congestion,-0.0005509190872103886
prev_shift_volume,-0.0005544208456509381
wms_response_time_ms,-0.0005581314627072231
backorder_ratio,-0.0006461057258455583
floor_vibration_idx,-0.0007475847536628777
inventory_turnover_rate,-0.0007781991851878445
intersection_density,-0.0008035723430861452
layout_pca_1,-0.0008147119112802415
return_order_ratio,-0.0008655560721777533
sensor_noise_stress,-0.0009127192245870219
vertical_utilization,-0.0010147243355955737
intersection_count,-0.0015833711370412118
building_age_years,-0.0016547527916408455
robot_active_scenario_std,-0.002511780068390479
express_lane_util,-0.002677440122196728
layout_pca_3,-0.0028760776478016226
